Date Time (UTC),Folder Path,Host avg VM count,Host avg CPU (%),Host max CPU (%),Host min CPU (%),Host avg RAM (%),Host max RAM (%),Host min RAM (%),Host avg I/O (IOPS),Host max I/O (IOPS),Host min I/O (IOPS),Host avg Network (Kbps),Host max Network (Kbps),Host min Network (Kbps),Host avg Latency Read (s),Host max Latency Read (s),Host min Latency Read (s),Host avg Latency Write (s),Host max Latency Write (s),Host min Latency Write (s)
"2021-05-01T00:00:00","ucl-prod\hypervisors","363.41","7.84","17.68","2.83","64.47","87.97","22.95","22.55","119.16","0.0","76648.29","472682.45","140.7","0.54","3.23","0.0","0.85","6.58","0.0"
"2021-05-02T00:00:00","ucl-prod\hypervisors","324.97","8.38","12.72","3.21","58.67","81.98","20.47","26.47","117.94","0.01","99080.47","1633879.07","275.65","0.75","4.71","0.0","0.51","2.76","0.0"
"2021-05-03T00:00:00","ucl-prod\hypervisors","355.0","6.84","10.36","1.89","63.83","87.04","19.66","25.3","159.25","0.01","86450.81","1217528.4","123.81","0.5","2.69","0.0","0.36","2.46","0.0"
"2021-05-04T00:00:00","ucl-prod\hypervisors","354.03","11.93","19.7","5.03","64.16","86.82","19.7","25.04","198.87","0.01","87269.65","870624.34","114.97","0.57","2.73","0.0","0.42","2.38","0.0"
"2021-05-05T00:00:00","ucl-prod\hypervisors","336.39","12.21","20.7","3.16","61.3","86.69","25.61","31.18","181.58","0.01","79675.82","593426.99","193.22","0.57","2.67","0.0","0.43","2.34","0.0"
"2021-05-06T00:00:00","ucl-prod\hypervisors","330.0","11.67","20.67","1.79","60.31","88.03","21.71","21.45","161.37","0.01","65932.09","433106.89","138.26","0.45","2.41","0.0","4.33","21.79","0.0"
"2021-05-07T00:00:00","ucl-prod\hypervisors","329.99","11.08","18.62","2.42","59.68","87.68","21.71","18.55","97.88","0.02","103595.53","968102.82","131.87","0.43","2.1","0.0","8.26","44.04","0.0"
"2021-05-08T00:00:00","ucl-prod\hypervisors","329.6","7.11","13.36","3.13","58.89","86.51","20.25","19.29","107.02","0.01","112338.63","1275460.19","131.79","0.35","2.02","0.0","0.24","1.37","0.0"
"2021-05-09T00:00:00","ucl-prod\hypervisors","258.02","7.35","10.51","2.87","48.44","73.9","20.91","22.17","149.99","0.0","71339.68","730748.52","141.14","0.5","2.51","0.0","3.77","29.96","0.0"
"2021-05-10T00:00:00","ucl-prod\hypervisors","344.08","13.93","24.8","3.05","61.32","89.34","18.9","26.28","145.48","0.0","91180.01","1033137.89","140.38","1.78","8.87","0.0","0.34","1.87","0.0"
"2021-05-11T00:00:00","ucl-prod\hypervisors","361.01","15.36","27.69","2.54","62.79","88.03","19.77","21.53","104.72","0.0","112816.63","1178919.06","138.35","1.49","9.06","0.0","0.39","2.11","0.0"
"2021-05-12T00:00:00","ucl-prod\hypervisors","360.74","15.19","26.23","1.22","63.64","86.5","11.09","21.82","178.02","0.01","111089.91","791820.42","124.93","0.62","3.88","0.0","0.42","2.84","0.0"
"2021-05-13T00:00:00","ucl-prod\hypervisors","360.95","14.71","25.38","0.0","64.58","89.86","1.15","18.44","118.25","0.01","129453.36","1878011.6","79.19","0.48","2.43","0.0","0.33","1.98","0.0"
"2021-05-14T00:00:00","ucl-prod\hypervisors","360.96","15.37","23.29","5.88","70.38","91.16","27.14","25.25","184.92","0.02","118473.33","1014602.87","164.46","0.76","5.88","0.0","0.31","1.77","0.0"
